k,rho,method,Better,Worse,Power,FP,Better2,Worse2,Power2,FDR2,mean_mBIC,sd_mBIC,sem_mBIC,mean_mBIC2,sd_mBIC2,sem_mBIC2,Runtime
10,0.0,lassonet_plus,0,0,0.8545999999999999,0.05,2,152,0.8702,0.03654145299145298,6.821210263296962e-16,8.621587547608974e-14,3.8556911660838735e-15,0.6833654864572024,1.645970296106327,0.07361002942078408,15.563109991550446
10,0.0,deep2stage,0,500,0.842,0.014,0,500,0.78,0.0,23.77556711385559,3.3245416143301707,0.148678020873383,183.12550039103482,28.457428046781416,1.2726548715482462,11.187658450603486
10,0.5,stepwise_plain,0,0,0.8550000000000001,0.06,0,0,0.8768,0.04285727050727049,0.0,0.0,0.0,0.0,0.0,0.0,5.090255061626435
10,0.5,stepwise_reduced,0,189,0.8093999999999999,0.06,0,273,0.8183999999999999,0.022896176046176026,11.663562486834588,26.663857283775695,1.192443948577507,14.368624748201015,28.50706886762337,1.274874876545476,0.981061692237854
10,0.5,stepwise_ff,0,3,0.8545999999999999,0.062,0,3,0.8768,0.04343785658785657,0.03633078575841409,0.5532207172045865,0.02474078260461286,0.015558470448371964,0.20100845381206103,0.008989371335517903,2.1564553961753847
10,0.5,L0opt_CD,4,0,0.8566,0.06,11,5,0.8775999999999999,0.04603353313353313,-0.03636410940854444,0.6584818300912408,0.02944820268064962,-0.028296621753032696,0.34584748774250346,0.01546676984879526,0.21754557085037232
10,0.5,L0opt_CDPSI,4,0,0.8566,0.06,12,5,0.8774,0.0463971694971695,-0.03636410940854444,0.6584818300912408,0.02944820268064962,-0.029136816495307586,0.34628861336371086,0.015486497586307992,1.8253296217918396
10,0.5,lassonet,2,53,0.8506,0.058,1,167,0.8672000000000001,0.029245515595515578,0.36838538369207774,1.7710561435467365,0.07920403857878255,0.983958994938802,2.077983415162847,0.09293024344842585,12.041901591777801
10,0.5,lassonet_plus,3,0,0.8562,0.06,1,158,0.8678000000000001,0.029987173937173924,-0.03399352416504439,0.6564678022870952,0.029358132619076736,0.859015929314694,1.9520222305603079,0.08729708802247231,15.772514015197753
10,0.5,deep2stage,0,500,0.8346,0.048,0,500,0.7812,0.0007532467532467532,25.008033603276726,6.0570451677250885,0.27087929475639827,184.3389607346355,28.100371566049986,1.2566868202937997,11.15126296043396
10,0.8,stepwise_plain,0,0,0.8394,0.162,0,0,0.8564,0.05362072372072373,0.0,0.0,0.0,0.0,0.0,0.0,5.046531930923462
10,0.8,stepwise_reduced,1,213,0.7874,0.282,1,282,0.7962,0.05626111111111107,14.718484136497457,31.322812998242583,1.4007987822116883,16.786447181214875,32.50274919255175,1.453567133003442,1.241553316116333
10,0.8,stepwise_ff,1,73,0.8286,0.272,2,82,0.8472,0.0638293317793318,1.1596064032320366,3.6333636814592003,0.16248896357443326,0.8065079427486135,2.52091173219918,0.11273859996948223,3.526081281661987
10,0.8,L0opt_CD,1,14,0.8384,0.172,5,31,0.8550000000000001,0.05589800754800757,0.12955098279722232,0.9916689884733216,0.04434878538809605,0.19665201018264747,1.222453043804978,0.05466976210498918,0.23159303903579712
10,0.8,L0opt_CDPSI,11,11,0.8396000000000001,0.156,15,21,0.8560000000000001,0.05515960150960154,0.007992613287518453,0.9425474048157996,0.04215200138368281,0.0706891335009102,0.8357085341441133,0.03737402183445882,2.1325898776054384
10,0.8,lassonet,1,280,,,0,375,,0.06323204573204573,,,,,,,
10,0.8,lassonet_plus,8,6,0.841,0.15,1,360,0.8089999999999999,0.051926628926628936,-0.055382489975631645,0.6760465641157135,0.030233721466358107,9.389569572870922,12.640243097658132,0.5652888563697219,15.658717042446137
10,0.8,deep2stage,0,500,0.7702,0.826,0,500,0.7232000000000001,0.04389458874458871,47.844986478856924,22.875235072283033,1.0230116124582436,205.98504518104514,42.282929196557774,1.8909500794262748,10.755934642791749
20,0.0,stepwise_plain,0,0,0.8499000000000001,0.06,0,0,0.8808999999999999,0.057641460566923014,0.0,0.0,0.0,0.0,0.0,0.0,6.971812740802765
20,0.0,stepwise_reduced,0,437,0.7462,0.022,0,478,0.7562,0.017607259329937324,73.3197067809405,71.86561899063831,3.2139281861633417,87.70317331176051,77.5804335474831,3.469502462721547,1.0591536412239075
20,0.0,stepwise_ff,0,0,0.8499000000000001,0.06,3,0,0.8808999999999999,0.05792141044160973,9.549694368615747e-15,1.0777736966823156e-13,4.8199505002857945e-15,-0.005038946044441218,0.08048919623076853,0.0035995862845263652,2.666270835876465
20,0.0,L0opt_CD,1,0,0.8502000000000001,0.06,36,1,0.8817,0.0647347844627816,-0.005392690474328901,0.12058422482224104,0.005392690474332969,-0.06568219630870521,0.31263869601036814,0.013981627533521508,0.2472496609687805
20,0.0,L0opt_CDPSI,1,0,0.8502000000000001,0.06,37,1,0.8816,0.06498478446278158,-0.005392690474328901,0.12058422482224104,0.005392690474332969,-0.0671119810282321,0.3139695800798305,0.014041146478511296,2.269891946315765
20,0.0,lassonet,1,137,0.8394999999999999,0.094,1,385,0.858,0.03011974140769265,1.430045107906996,3.5259262004696073,0.15768421335795185,4.11135287286671,5.364284968042826,0.2398981167844809,9.42646483707428
20,0.0,lassonet_plus,1,0,0.8502000000000001,0.06,1,383,0.8577,0.028135201766720103,-0.005392690474329584,0.12058422482224103,0.005392690474332968,4.054803929319207,5.145696246662043,0.23012253198203705,13.906260995388031
20,0.0,deep2stage,0,500,0.8371999999999999,0.024,0,500,0.774,0.0,47.21935248979549,4.799552674361995,0.21464252082928664,385.5327592411082,43.208548705041544,1.932345042271668,8.764998842716217
